Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Baltrag AG,Basel,,FINMA,1,Regulated financial services,Portfolio manager
BALZ Informatik AG,,https://www.swissmadesoftware.org/en/companies/balz-informatik-ag/home.html,Swiss Made Software,1,Software,
Balz Maschinen AG,Langnau im Emmental,http://www.balz-maschinen.ch/,Swissmechanic,1,Industry / SMEs,"Balz Maschinen AG, Obermattweg 11, 3550 Langnau im Emmental"
bambit ag,,https://www.swissmadesoftware.org/en/companies/bambit-ag/home.html,Swiss Made Software,1,Software,
BAMCO GmbH,Hünenberg See,,FINMA,1,Regulated financial services,Portfolio manager
Banca Aletti & C. (Suisse) SA,6900 Lugano; Lugano,http://www.alettibank.it/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banca Credinvest SA,6902 Lugano; Lugano,http://www.credinvest.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
BANCA DEL CERESIO SA,6901 Lugano; Lugano,http://www.ceresioinvestors.com/bancadelceresio,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Representatives of foreign collective investment schemes (CISA)
BANCA DEL SEMPIONE SA,6900 Lugano; Lugano,http://www.bancadelsempione.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Representatives of foreign collective investment schemes (CISA)
Banca dello Stato del Cantone Ticino,6501 Bellinzona; Bellinzona,https://www.bancastato.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banca Popolare di Sondrio (Suisse) SA,6900 Lugano; Lugano,http://www.bps-suisse.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Banca Raiffeisen Basso Ceresio società cooperativa,Melano,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Bellinzonese e Visagno società cooperativa,Bellinzona,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Colline del Ceresio società cooperativa,Savosa,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen del Basso Mendrisiotto società cooperativa,Chiasso,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen del Camoghè società cooperativa,Giubiasco,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen del Malcantone società cooperativa,Caslano,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen del Moesano società cooperativa,Roveredo GR,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen della Campagnadorna società cooperativa,Stabio,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Locarno società cooperativa,Locarno,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Losone Pedemonte Vallemaggia società cooperativa,Maggia,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Lugano società cooperativa,Lugano,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Mendrisio e Valle di Muggio società cooperativa,Mendrisio,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Morbio-Vacallo società cooperativa,Morbio Inferiore,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Piano di Magadino società cooperativa,Gordola,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Tre Valli società cooperativa,Biasca,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Valposchiavo società cooperativa,Poschiavo,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Raiffeisen Vedeggio Cassarate società cooperativa,Gravesano,,FINMA,1,Regulated financial services,Raiffeisen bank
Banca Zarattini & Co. SA,6900 Lugano; Lugano,http://www.zarattinibank.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
"Banco Comercial Português, S.A., Porto, représentation de Genève",Genève,,FINMA,1,Regulated financial services,Foreign bank representative office
"Banco Comercial Português, S.A., Porto, représentation de Lausanne",Lausanne,,FINMA,1,Regulated financial services,Foreign bank representative office
"Banco Comercial Português, S.A., Porto, représentation de Zurich",Zürich,,FINMA,1,Regulated financial services,Foreign bank representative office
Banco Itaú (Suisse) SA,Zürich,,FINMA,1,Regulated financial services,Bank
Banco Santander International SA,1211 Genève; Genève 1,http://www.pb-santander.com/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank; Representatives of foreign collective investment schemes (CISA)
Band-Genossenschaft,Bern,https://www.band.ch,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Band-Genossenschaft, Riedbachstrasse 9, 3027 Bern"
